Longitude,Latitude,TotalPowerDbm
117.506,24.4618,-55.4688
117.506,24.4708,-62.2087
117.506,24.4798,-48.7555
117.506,24.4888,-60.1688
117.506,24.4978,-47.6143
117.506,24.5068,-59.8718
117.506,24.5158,-60.4608
117.506,24.5248,-52.8988
117.506,24.5338,-57.7272
117.506,24.5428,-56.1067
117.506,24.5517,-50.3116
117.506,24.5607,-62.551
117.506,24.5697,-56.8795
117.506,24.5787,-55.0612
117.506,24.5877,-54.0004
117.506,24.5967,-62.3849
117.506,24.6057,-61.0427
117.506,24.6147,-56.3143
117.506,24.6237,-58.6904
117.506,24.6327,-58.6966
117.506,24.6417,-62.4443
117.506,24.6507,-60.481
117.506,24.6597,-65.3796
117.506,24.6687,-65.5719
117.506,24.6777,-58.0861
117.506,24.6866,-58.1729
117.506,24.6956,-57.9943
117.506,24.7046,-53.4989
117.506,24.7136,-59.3908
117.506,24.7226,-63.3533
117.506,24.7316,-58.9747
117.506,24.7406,-59.1322
117.506,24.7496,-61.5959
117.516,24.21,-61.4549
117.516,24.219,-56.7232
117.516,24.228,-58.3084
117.516,24.237,-60.6305
117.516,24.246,-58.1395
117.516,24.255,-55.2974
117.516,24.264,-60.565
117.516,24.273,-72.9288
117.516,24.2819,-54.751
117.516,24.2909,-57.9329
117.516,24.2999,-51.668
117.516,24.3089,-64.3806
117.516,24.3179,-54.1334
117.516,24.3269,-50.6232
117.516,24.3359,-52.7912
117.516,24.3449,-55.4857
117.516,24.3539,-56.7563
117.516,24.3629,-57.7201
117.516,24.3719,-64.7456
117.516,24.3809,-60.9044
117.516,24.3899,-47.1295
117.516,24.3989,-51.8235
117.516,24.4079,-55.4451
117.516,24.4168,-60.6217
117.516,24.4258,-56.5024
117.516,24.4348,-55.5388
117.516,24.4438,-47.2997
117.516,24.4528,-60.7273
117.516,24.4618,-52.0278
117.516,24.4708,-54.0533
117.516,24.4798,-55.7979
117.516,24.4888,-45.0101
117.516,24.4978,-57.0034
117.516,24.5068,-51.9082
117.516,24.5158,-52.0948
117.516,24.5248,-53.5372
117.516,24.5338,-51.2436
117.516,24.5428,-50.3329
117.516,24.5517,-50.076
117.516,24.5607,-50.5316
117.516,24.5697,-57.6112
117.516,24.5787,-58.2255
117.516,24.5877,-44.1771
117.516,24.5967,-53.4841
117.516,24.6057,-62.6039
117.516,24.6147,-54.0049
117.516,24.6237,-59.1738
117.516,24.6327,-58.2318
117.516,24.6417,-60.2436
117.516,24.6507,-57.9287
117.516,24.6597,-65.5957
117.516,24.6687,-62.9717
117.516,24.6777,-54.7754
117.516,24.6866,-58.8006
117.516,24.6956,-55.4991
117.516,24.7046,-63.43
117.516,24.7136,-67.0309
117.516,24.7226,-66.9806
117.516,24.7316,-60.8496
117.516,24.7406,-58.6019
117.516,24.7496,-55.253
117.526,24.21,-64.6728
117.526,24.219,-55.4517
117.526,24.228,-61.0524
117.526,24.237,-56.4601
117.526,24.246,-63.1773
117.526,24.255,-63.3245
117.526,24.264,-59.588
117.526,24.273,-67.0445
117.526,24.2819,-61.4985
117.526,24.2909,-54.9415
117.526,24.2999,-57.1697
117.526,24.3089,-54.8867
117.526,24.3179,-63.7166
117.526,24.3269,-62.3136
117.526,24.3359,-59.1769
117.526,24.3449,-56.6602
117.526,24.3539,-46.5828
117.526,24.3629,-60.2307
117.526,24.3719,-60.3636
117.526,24.3809,-55.1058
117.526,24.3899,-47.6945
117.526,24.3989,-58.4308
117.526,24.4079,-56.7577
117.526,24.4168,-47.355
117.526,24.4258,-58.4241
117.526,24.4348,-53.2814
117.526,24.4438,-57.9666
117.526,24.4528,-49.6474
117.526,24.4618,-58.188
117.526,24.4708,-62.4515
117.526,24.4798,-49.213
117.526,24.4888,-53.0432
